parent_region,region,label
Isocortex,FRP_RH,1
Isocortex,FRP_LH,2
Isocortex,MOp_RH,3
Isocortex,MOp_LH,4
Isocortex,MOs_RH,5
Isocortex,MOs_LH,6
Isocortex,SSp-n_RH,7
Isocortex,SSp-n_LH,8
Isocortex,SSp-bfd_RH,9
Isocortex,SSp-bfd_LH,10
Isocortex,SSp-ll_RH,11
Isocortex,SSp-ll_LH,12
Isocortex,SSp-m_RH,13
Isocortex,SSp-m_LH,14
Isocortex,SSp-ul_RH,15
Isocortex,SSp-ul_LH,16
Isocortex,SSp-tr_RH,17
Isocortex,SSp-tr_LH,18
Isocortex,SSp-un_RH,19
Isocortex,SSp-un_LH,20
Isocortex,SSs_RH,21
Isocortex,SSs_LH,22
Isocortex,GU_RH,23
Isocortex,GU_LH,24
Isocortex,VISC_RH,25
Isocortex,VISC_LH,26
Isocortex,AUDd_RH,27
Isocortex,AUDd_LH,28
Isocortex,AUDp_RH,29
Isocortex,AUDp_LH,30
Isocortex,AUDpo_RH,31
Isocortex,AUDpo_LH,32
Isocortex,AUDv_RH,33
Isocortex,AUDv_LH,34
Isocortex,VISal_RH,35
Isocortex,VISal_LH,36
Isocortex,VISam_RH,37
Isocortex,VISam_LH,38
Isocortex,VISl_RH,39
Isocortex,VISl_LH,40
Isocortex,VISp_RH,41
Isocortex,VISp_LH,42
Isocortex,VISpl_RH,43
Isocortex,VISpl_LH,44
Isocortex,VISpm_RH,45
Isocortex,VISpm_LH,46
Isocortex,VISli_RH,47
Isocortex,VISli_LH,48
Isocortex,VISpor_RH,49
Isocortex,VISpor_LH,50
Isocortex,ACAd_RH,51
Isocortex,ACAd_LH,52
Isocortex,ACAv_RH,53
Isocortex,ACAv_LH,54
Isocortex,PL_RH,55
Isocortex,PL_LH,56
Isocortex,ILA_RH,57
Isocortex,ILA_LH,58
Isocortex,ORBl_RH,59
Isocortex,ORBl_LH,60
Isocortex,ORBm_RH,61
Isocortex,ORBm_LH,62
Isocortex,ORBvl_RH,63
Isocortex,ORBvl_LH,64
Isocortex,AId_RH,65
Isocortex,AId_LH,66
Isocortex,AIp_RH,67
Isocortex,AIp_LH,68
Isocortex,AIv_RH,69
Isocortex,AIv_LH,70
Isocortex,RSPagl_RH,71
Isocortex,RSPagl_LH,72
Isocortex,RSPd_RH,73
Isocortex,RSPd_LH,74
Isocortex,RSPv_RH,75
Isocortex,RSPv_LH,76
Isocortex,VISa_RH,77
Isocortex,VISa_LH,78
Isocortex,VISrl_RH,79
Isocortex,VISrl_LH,80
Isocortex,TEa_RH,81
Isocortex,TEa_LH,82
Isocortex,PERI_RH,83
Isocortex,PERI_LH,84
Isocortex,ECT_RH,85
Isocortex,ECT_LH,86
HPF,HIP_RH,87
HPF,HIP_LH,88
HPF,CA_RH,89
HPF,CA_LH,90
HPF,DG_RH,91
HPF,DG_LH,92
