index	name	abbreviation	color
0	left root	root-L	000000
1	left Basic cell groups and regions	grey-L	BFDAE3
2	left Cerebrum	CH-L	B0F0FF
3	left Cerebral cortex	CTX-L	B0FFB8
4	left Cortical plate	CTXpl-L	70FF70
5	left Isocortex	Isocortex-L	70FF71
6	left Frontal pole, cerebral cortex	FRP-L	268F44
7	left Frontal pole, layer 1	FRP1-L	268F45
8	left Frontal pole, layer 2/3	FRP2/3-L	268E45
9	left Frontal pole, layer 5	FRP5-L	258F45
10	left Frontal pole, layer 6a	FRP6a-L	268E44
11	left Frontal pole, layer 6b	FRP6b-L	258F44
12	left Somatomotor areas	MO-L	1F9C59
13	left Somatomotor areas, Layer 1	MO1-L	1F9D5A
14	left Somatomotor areas, Layer 2/3	MO2/3-L	1F9D59
15	left Somatomotor areas, Layer 5	MO5-L	1F9C5A
16	left Somatomotor areas, Layer 6a	MO6a-L	1E9D59
17	left Somatomotor areas, Layer 6b	MO6b-L	1F9B59
18	left Primary motor area	MOp-L	1E9B5A
19	left Primary motor area, Layer 1	MOp1-L	1E9D5A
20	left Primary motor area, Layer 2/3	MOp2/3-L	1F9C58
21	left Primary motor area, Layer 5	MOp5-L	1E9C5A
22	left Primary motor area, Layer 6a	MOp6a-L	1F9B5A
23	left Primary motor area, Layer 6b	MOp6b-L	1D9D5A
24	left Secondary motor area	MOs-L	1D9D59
25	left Secondary motor area, layer 1	MOs1-L	1E9C59
26	left Secondary motor area, layer 2/3	MOs2/3-L	1E9D58
27	left Secondary motor area, layer 5	MOs5-L	1F9D58
28	left Secondary motor area, layer 6a	MOs6a-L	1D9C5A
29	left Secondary motor area, layer 6b	MOs6b-L	1E9C58
30	left Somatosensory areas	SS-L	1B8061
31	left Somatosensory areas, layer 1	SS1-L	1A7F62
32	left Somatosensory areas, layer 2/3	SS2/3-L	1A7E63
33	left Somatosensory areas, layer 4	SS4-L	198064
34	left Somatosensory areas, layer 5	SS5-L	1B8064
35	left Somatosensory areas, layer 6a	SS6a-L	187F61
36	left Somatosensory areas, layer 6b	SS6b-L	187D63
37	left Primary somatosensory area	SSp-L	198063
38	left Primary somatosensory area, layer 1	SSp1-L	197D64
39	left Primary somatosensory area, layer 2/3	SSp2/3-L	187E64
40	left Primary somatosensory area, layer 4	SSp4-L	1B7F63
41	left Primary somatosensory area, layer 5	SSp5-L	1B7D64
42	left Primary somatosensory area, layer 6a	SSp6a-L	187D64
43	left Primary somatosensory area, layer 6b	SSp6b-L	198061
44	left Primary somatosensory area, nose	SSp-n-L	1A8064
45	left Primary somatosensory area, nose, layer 1	SSp-n1-L	197E63
46	left Primary somatosensory area, nose, layer 2/3	SSp-n2/3-L	1B7F64
47	left Primary somatosensory area, nose, layer 4	SSp-n4-L	1A8062
48	left Primary somatosensory area, nose, layer 5	SSp-n5-L	197E62
49	left Primary somatosensory area, nose, layer 6a	SSp-n6a-L	187D62
50	left Primary somatosensory area, nose, layer 6b	SSp-n6b-L	1B7E64
51	left Primary somatosensory area, barrel field	SSp-bfd-L	197F64
52	left Primary somatosensory area, barrel field, layer 1	SSp-bfd1-L	188060
53	left Primary somatosensory area, barrel field, layer 2/3	SSp-bfd2/3-L	187F63
54	left Primary somatosensory area, barrel field, layer 4	SSp-bfd4-L	197C64
55	left Primary somatosensory area, barrel field, layer 5	SSp-bfd5-L	1A7D62
56	left Primary somatosensory area, barrel field, layer 6a	SSp-bfd6a-L	198060
57	left Primary somatosensory area, barrel field, layer 6b	SSp-bfd6b-L	1A7E61
58	left Rostrolateral lateral visual area	VISrll-L	1B7F61
59	left Rostrolateral lateral visual area, layer 1	VISrll1-L	1B7D63
60	left Rostrolateral lateral visual area, layer 2/3	VISrll2/3-L	187E60
61	left Rostrolateral lateral visual area, layer 4	VISrll4-L	187C62
62	left Rostrolateral lateral visual area,layer 5	VISrll5-L	1A8060
63	left Rostrolateral lateral visual area, layer 6a	VISrll6a-L	1A7C64
64	left Rostrolateral lateral visual area, layer 6b	VISrll6b-L	1C8062
65	left Primary somatosensory area, lower limb	SSp-ll-L	197F63
66	left Primary somatosensory area, lower limb, layer 1	SSp-ll1-L	187F60
67	left Primary somatosensory area, lower limb, layer 2/3	SSp-ll2/3-L	187F64
68	left Primary somatosensory area, lower limb, layer 4	SSp-ll4-L	1C7F64
69	left Primary somatosensory area, lower limb, layer 5	SSp-ll5-L	197C63
70	left Primary somatosensory area, lower limb, layer 6a	SSp-ll6a-L	1A7F64
71	left Primary somatosensory area, lower limb, layer 6b	SSp-ll6b-L	197F62
72	left Primary somatosensory area, mouth	SSp-m-L	188062
73	left Primary somatosensory area, mouth, layer 1	SSp-m1-L	187E61
74	left Primary somatosensory area, mouth, layer 2/3	SSp-m2/3-L	1A7E64
75	left Primary somatosensory area, mouth, layer 4	SSp-m4-L	1B7F62
76	left Primary somatosensory area, mouth, layer 5	SSp-m5-L	1B7E63
77	left Primary somatosensory area, mouth, layer 6a	SSp-m6a-L	187D61
78	left Primary somatosensory area, mouth, layer 6b	SSp-m6b-L	188064
79	left Primary somatosensory area, upper limb	SSp-ul-L	187E63
80	left Primary somatosensory area, upper limb, layer 1	SSp-ul1-L	197E64
81	left Primary somatosensory area, upper limb, layer 2/3	SSp-ul2/3-L	197F61
82	left Primary somatosensory area, upper limb, layer 4	SSp-ul4-L	1A7F63
83	left Primary somatosensory area, upper limb, layer 5	SSp-ul5-L	187E62
84	left Primary somatosensory area, upper limb, layer 6a	SSp-ul6a-L	197D61
85	left Primary somatosensory area, upper limb, layer 6b	SSp-ul6b-L	1C8064
86	left Primary somatosensory area, trunk	SSp-tr-L	187F62
87	left Primary somatosensory area, trunk, layer 1	SSp-tr1-L	187C64
88	left Primary somatosensory area, trunk, layer 2/3	SSp-tr2/3-L	188061
