index	name	abbreviation	color
0	root	root	000000
1	Basic cell groups and regions	grey	BFDAE3
2	Cerebrum	CH	B0F0FF
3	Cerebral cortex	CTX	B0FFB8
4	Cortical plate	CTXpl	70FF70
5	Isocortex	Isocortex	70FF71
6	Frontal pole, cerebral cortex	FRP	268F44
7	Frontal pole, layer 1	FRP1	268F45
8	Frontal pole, layer 2/3	FRP2/3	268E45
9	Frontal pole, layer 5	FRP5	258F45
10	Frontal pole, layer 6a	FRP6a	268E44
11	Frontal pole, layer 6b	FRP6b	258F44
12	Somatomotor areas	MO	1F9C59
13	Somatomotor areas, Layer 1	MO1	1F9D5A
14	Somatomotor areas, Layer 2/3	MO2/3	1F9D59
15	Somatomotor areas, Layer 5	MO5	1F9C5A
16	Somatomotor areas, Layer 6a	MO6a	1E9D59
17	Somatomotor areas, Layer 6b	MO6b	1F9B59
18	Primary motor area	MOp	1E9B5A
19	Primary motor area, Layer 1	MOp1	1E9D5A
20	Primary motor area, Layer 2/3	MOp2/3	1F9C58
21	Primary motor area, Layer 5	MOp5	1E9C5A
22	Primary motor area, Layer 6a	MOp6a	1F9B5A
23	Primary motor area, Layer 6b	MOp6b	1D9D5A
24	Secondary motor area	MOs	1D9D59
25	Secondary motor area, layer 1	MOs1	1E9C59
26	Secondary motor area, layer 2/3	MOs2/3	1E9D58
27	Secondary motor area, layer 5	MOs5	1F9D58
28	Secondary motor area, layer 6a	MOs6a	1D9C5A
29	Secondary motor area, layer 6b	MOs6b	1E9C58
30	Somatosensory areas	SS	1B8061
31	Somatosensory areas, layer 1	SS1	1A7F62
32	Somatosensory areas, layer 2/3	SS2/3	1A7E63
33	Somatosensory areas, layer 4	SS4	198064
34	Somatosensory areas, layer 5	SS5	1B8064
35	Somatosensory areas, layer 6a	SS6a	187F61
36	Somatosensory areas, layer 6b	SS6b	187D63
37	Primary somatosensory area	SSp	198063
38	Primary somatosensory area, layer 1	SSp1	197D64
39	Primary somatosensory area, layer 2/3	SSp2/3	187E64
40	Primary somatosensory area, layer 4	SSp4	1B7F63
41	Primary somatosensory area, layer 5	SSp5	1B7D64
42	Primary somatosensory area, layer 6a	SSp6a	187D64
43	Primary somatosensory area, layer 6b	SSp6b	198061
44	Primary somatosensory area, nose	SSp-n	1A8064
45	Primary somatosensory area, nose, layer 1	SSp-n1	197E63
46	Primary somatosensory area, nose, layer 2/3	SSp-n2/3	1B7F64
47	Primary somatosensory area, nose, layer 4	SSp-n4	1A8062
48	Primary somatosensory area, nose, layer 5	SSp-n5	197E62
49	Primary somatosensory area, nose, layer 6a	SSp-n6a	187D62
50	Primary somatosensory area, nose, layer 6b	SSp-n6b	1B7E64
51	Primary somatosensory area, barrel field	SSp-bfd	197F64
52	Primary somatosensory area, barrel field, layer 1	SSp-bfd1	188060
53	Primary somatosensory area, barrel field, layer 2/3	SSp-bfd2/3	187F63
54	Primary somatosensory area, barrel field, layer 4	SSp-bfd4	197C64
55	Primary somatosensory area, barrel field, layer 5	SSp-bfd5	1A7D62
56	Primary somatosensory area, barrel field, layer 6a	SSp-bfd6a	198060
57	Primary somatosensory area, barrel field, layer 6b	SSp-bfd6b	1A7E61
58	Rostrolateral lateral visual area	VISrll	1B7F61
59	Rostrolateral lateral visual area, layer 1	VISrll1	1B7D63
60	Rostrolateral lateral visual area, layer 2/3	VISrll2/3	187E60
