index	name	abbreviation
1	L_Isocortex	L_Isocortex
2	R_Isocortex	R_Isocortex
3	L_Olfactory areas	L_OLF
4	R_Olfactory areas	R_OLF
5	L_Hippocampal formation	L_HPF
6	R_Hippocampal formation	R_HPF
7	L_Cortical subplate	L_CTXsp
8	R_Cortical subplate	R_CTXsp
9	L_Striatum	L_STR
10	R_Striatum	R_STR
11	L_Pallidum	L_PAL
12	R_Pallidum	R_PAL
13	L_Thalamus	L_TH
14	R_Thalamus	R_TH
15	L_Hypothalamus	L_HY
16	R_Hypothalamus	R_HY
17	L_Midbrain	L_MB
18	R_Midbrain	R_MB
19	L_Pons	L_P
20	R_Pons	R_P
21	L_Medulla	L_MY
22	R_Medulla	R_MY
23	L_Cerebellum	L_CB
24	R_Cerebellum	R_CB
