name	abbreviation	index
"L_Frontal pole	 cerebral cortex"	L_FRP	1
"R_Frontal pole	 cerebral cortex"	R_FRP	2
L_Primary motor area	L_MOp	3
R_Primary motor area	R_MOp	4
L_Secondary motor area	L_MOs	5
R_Secondary motor area	R_MOs	6
"L_Primary somatosensory area	 nose"	L_SSp-n	7
"R_Primary somatosensory area	 nose"	R_SSp-n	8
"L_Primary somatosensory area	 barrel field"	L_SSp-bfd	9
"R_Primary somatosensory area	 barrel field"	R_SSp-bfd	10
"L_Primary somatosensory area	 lower limb"	L_SSp-ll	11
"R_Primary somatosensory area	 lower limb"	R_SSp-ll	12
"L_Primary somatosensory area	 mouth"	L_SSp-m	13
"R_Primary somatosensory area	 mouth"	R_SSp-m	14
"L_Primary somatosensory area	 upper limb"	L_SSp-ul	15
"R_Primary somatosensory area	 upper limb"	R_SSp-ul	16
"L_Primary somatosensory area	 trunk"	L_SSp-tr	17
"R_Primary somatosensory area	 trunk"	R_SSp-tr	18
"L_Primary somatosensory area	 unassigned"	L_SSp-un	19
"R_Primary somatosensory area	 unassigned"	R_SSp-un	20
L_Supplemental somatosensory area	L_SSs	21
R_Supplemental somatosensory area	R_SSs	22
L_Gustatory areas	L_GU	23
R_Gustatory areas	R_GU	24
L_Visceral area	L_VISC	25
R_Visceral area	R_VISC	26
L_Dorsal auditory area	L_AUDd	27
R_Dorsal auditory area	R_AUDd	28
L_Primary auditory area	L_AUDp	29
R_Primary auditory area	R_AUDp	30
L_Posterior auditory area	L_AUDpo	31
R_Posterior auditory area	R_AUDpo	32
L_Ventral auditory area	L_AUDv	33
R_Ventral auditory area	R_AUDv	34
L_Anterolateral visual area	L_VISal	35
R_Anterolateral visual area	R_VISal	36
L_Anteromedial visual area	L_VISam	37
R_Anteromedial visual area	R_VISam	38
L_Lateral visual area	L_VISl	39
R_Lateral visual area	R_VISl	40
L_Primary visual area	L_VISp	41
R_Primary visual area	R_VISp	42
L_Posterolateral visual area	L_VISpl	43
R_Posterolateral visual area	R_VISpl	44
L_posteromedial visual area	L_VISpm	45
R_posteromedial visual area	R_VISpm	46
L_Laterointermediate area	L_VISli	47
R_Laterointermediate area	R_VISli	48
L_Postrhinal area	L_VISpor	49
R_Postrhinal area	R_VISpor	50
"L_Anterior cingulate area	 dorsal part"	L_ACAd	51
"R_Anterior cingulate area	 dorsal part"	R_ACAd	52
"L_Anterior cingulate area	 ventral part"	L_ACAv	53
"R_Anterior cingulate area	 ventral part"	R_ACAv	54
L_Prelimbic area	L_PL	55
R_Prelimbic area	R_PL	56
L_Infralimbic area	L_ILA	57
R_Infralimbic area	R_ILA	58
"L_Orbital area	 lateral part"	L_ORBl	59
"R_Orbital area	 lateral part"	R_ORBl	60
"L_Orbital area	 medial part"	L_ORBm	61
"R_Orbital area	 medial part"	R_ORBm	62
"L_Orbital area	 ventrolateral part"	L_ORBvl	63
"R_Orbital area	 ventrolateral part"	R_ORBvl	64
"L_Agranular insular area	 dorsal part"	L_AId	65
"R_Agranular insular area	 dorsal part"	R_AId	66
"L_Agranular insular area	 posterior part"	L_AIp	67
"R_Agranular insular area	 posterior part"	R_AIp	68
"L_Agranular insular area	 ventral part"	L_AIv	69
"R_Agranular insular area	 ventral part"	R_AIv	70
"L_Retrosplenial area	 lateral agranular part"	L_RSPagl	71
"R_Retrosplenial area	 lateral agranular part"	R_RSPagl	72
"L_Retrosplenial area	 dorsal part"	L_RSPd	73
"R_Retrosplenial area	 dorsal part"	R_RSPd	74
"L_Retrosplenial area	 ventral part"	L_RSPv	75
"R_Retrosplenial area	 ventral part"	R_RSPv	76
L_Anterior area	L_VISa	77
R_Anterior area	R_VISa	78
L_Rostrolateral visual area	L_VISrl	79
R_Rostrolateral visual area	R_VISrl	80
L_Temporal association areas	L_TEa	81
R_Temporal association areas	R_TEa	82
L_Perirhinal area	L_PERI	83
R_Perirhinal area	R_PERI	84
L_Ectorhinal area	L_ECT	85
R_Ectorhinal area	R_ECT	86
L_Main olfactory bulb	L_MOB	87
R_Main olfactory bulb	R_MOB	88
L_Accessory olfactory bulb	L_AOB	89
R_Accessory olfactory bulb	R_AOB	90
L_Anterior olfactory nucleus	L_AON	91
R_Anterior olfactory nucleus	R_AON	92
L_Taenia tecta	L_TT	93
R_Taenia tecta	R_TT	94
L_Dorsal peduncular area	L_DP	95
R_Dorsal peduncular area	R_DP	96
L_Piriform area	L_PIR	97
R_Piriform area	R_PIR	98
L_Nucleus of the lateral olfactory tract	L_NLOT	99
R_Nucleus of the lateral olfactory tract	R_NLOT	100
"L_Cortical amygdalar area	 anterior part"	L_COAa	101
"R_Cortical amygdalar area	 anterior part"	R_COAa	102
"L_Cortical amygdalar area	 posterior part"	L_COAp	103
"R_Cortical amygdalar area	 posterior part"	R_COAp	104
L_Piriform-amygdalar area	L_PAA	105
R_Piriform-amygdalar area	R_PAA	106
L_Postpiriform transition area	L_TR	107
R_Postpiriform transition area	R_TR	108
L_Field CA1	L_CA1	109
R_Field CA1	R_CA1	110
L_Field CA2	L_CA2	111
R_Field CA2	R_CA2	112
L_Field CA3	L_CA3	113
R_Field CA3	R_CA3	114
L_Dentate gyrus	L_DG	115
R_Dentate gyrus	R_DG	116
L_Fasciola cinerea	L_FC	117
R_Fasciola cinerea	R_FC	118
L_Induseum griseum	L_IG	119
R_Induseum griseum	R_IG	120
"L_Entorhinal area	 lateral part"	L_ENTl	121
"R_Entorhinal area	 lateral part"	R_ENTl	122
"L_Entorhinal area	 medial part	 dorsal zone"	L_ENTm	123
"R_Entorhinal area	 medial part	 dorsal zone"	R_ENTm	124
L_Parasubiculum	L_PAR	125
R_Parasubiculum	R_PAR	126
L_Postsubiculum	L_POST	127
R_Postsubiculum	R_POST	128
L_Presubiculum	L_PRE	129
R_Presubiculum	R_PRE	130
L_Subiculum	L_SUB	131
R_Subiculum	R_SUB	132
L_Prosubiculum	L_ProS	133
R_Prosubiculum	R_ProS	134
L_Hippocampo-amygdalar transition area	L_HATA	135
R_Hippocampo-amygdalar transition area	R_HATA	136
L_Area prostriata	L_APr	137
R_Area prostriata	R_APr	138
L_Claustrum	L_CLA	139
R_Claustrum	R_CLA	140
"L_Endopiriform nucleus	 dorsal part"	L_EPd	141
"R_Endopiriform nucleus	 dorsal part"	R_EPd	142
"L_Endopiriform nucleus	 ventral part"	L_EPv	143
"R_Endopiriform nucleus	 ventral part"	R_EPv	144
L_Lateral amygdalar nucleus	L_LA	145
R_Lateral amygdalar nucleus	R_LA	146
L_Basolateral amygdalar nucleus	L_BLA	147
R_Basolateral amygdalar nucleus	R_BLA	148
L_Basomedial amygdalar nucleus	L_BMA	149
R_Basomedial amygdalar nucleus	R_BMA	150
L_Posterior amygdalar nucleus	L_PA	151
R_Posterior amygdalar nucleus	R_PA	152
L_Caudoputamen	L_CP	153
R_Caudoputamen	R_CP	154
L_Nucleus accumbens	L_ACB	155
R_Nucleus accumbens	R_ACB	156
L_Fundus of striatum	L_FS	157
R_Fundus of striatum	R_FS	158
L_Olfactory tubercle	L_OT	159
R_Olfactory tubercle	R_OT	160
"L_Lateral septal nucleus	 caudal (caudodorsal) part"	L_LSc	161
"R_Lateral septal nucleus	 caudal (caudodorsal) part"	R_LSc	162
"L_Lateral septal nucleus	 rostral (rostroventral) part"	L_LSr	163
"R_Lateral septal nucleus	 rostral (rostroventral) part"	R_LSr	164
"L_Lateral septal nucleus	 ventral part"	L_LSv	165
"R_Lateral septal nucleus	 ventral part"	R_LSv	166
L_Septofimbrial nucleus	L_SF	167
R_Septofimbrial nucleus	R_SF	168
L_Septohippocampal nucleus	L_SH	169
R_Septohippocampal nucleus	R_SH	170
L_Anterior amygdalar area	L_AAA	171
R_Anterior amygdalar area	R_AAA	172
L_Bed nucleus of the accessory olfactory tract	L_BA	173
R_Bed nucleus of the accessory olfactory tract	R_BA	174
L_Central amygdalar nucleus	L_CEA	175
R_Central amygdalar nucleus	R_CEA	176
L_Intercalated amygdalar nucleus	L_IA	177
R_Intercalated amygdalar nucleus	R_IA	178
L_Medial amygdalar nucleus	L_MEA	179
R_Medial amygdalar nucleus	R_MEA	180
"L_Globus pallidus	 external segment"	L_GPe	181
"R_Globus pallidus	 external segment"	R_GPe	182
"L_Globus pallidus	 internal segment"	L_GPi	183
"R_Globus pallidus	 internal segment"	R_GPi	184
L_Substantia innominata	L_SI	185
R_Substantia innominata	R_SI	186
L_Magnocellular nucleus	L_MA	187
R_Magnocellular nucleus	R_MA	188
L_Medial septal nucleus	L_MS	189
R_Medial septal nucleus	R_MS	190
L_Diagonal band nucleus	L_NDB	191
R_Diagonal band nucleus	R_NDB	192
L_Triangular nucleus of septum	L_TRS	193
R_Triangular nucleus of septum	R_TRS	194
L_Bed nuclei of the stria terminalis	L_BST	195
R_Bed nuclei of the stria terminalis	R_BST	196
L_Bed nucleus of the anterior commissure	L_BAC	197
R_Bed nucleus of the anterior commissure	R_BAC	198
L_Ventral anterior-lateral complex of the thalamus	L_VAL	199
R_Ventral anterior-lateral complex of the thalamus	R_VAL	200
L_Ventral medial nucleus of the thalamus	L_VM	201
R_Ventral medial nucleus of the thalamus	R_VM	202
L_Ventral posterolateral nucleus of the thalamus	L_VPL	203
R_Ventral posterolateral nucleus of the thalamus	R_VPL	204
"L_Ventral posterolateral nucleus of the thalamus	 parvicellular part"	L_VPLpc	205
"R_Ventral posterolateral nucleus of the thalamus	 parvicellular part"	R_VPLpc	206
L_Ventral posteromedial nucleus of the thalamus	L_VPM	207
R_Ventral posteromedial nucleus of the thalamus	R_VPM	208
"L_Ventral posteromedial nucleus of the thalamus	 parvicellular part"	L_VPMpc	209
"R_Ventral posteromedial nucleus of the thalamus	 parvicellular part"	R_VPMpc	210
L_Posterior triangular thalamic nucleus	L_PoT	211
R_Posterior triangular thalamic nucleus	R_PoT	212
"L_Subparafascicular nucleus	 magnocellular part"	L_SPFm	213
"R_Subparafascicular nucleus	 magnocellular part"	R_SPFm	214
"L_Subparafascicular nucleus	 parvicellular part"	L_SPFp	215
"R_Subparafascicular nucleus	 parvicellular part"	R_SPFp	216
L_Subparafascicular area	L_SPA	217
R_Subparafascicular area	R_SPA	218
L_Peripeduncular nucleus	L_PP	219
R_Peripeduncular nucleus	R_PP	220
L_Medial geniculate complex	L_MG	221
R_Medial geniculate complex	R_MG	222
L_Dorsal part of the lateral geniculate complex	L_LGd	223
R_Dorsal part of the lateral geniculate complex	R_LGd	224
L_Lateral posterior nucleus of the thalamus	L_LP	225
R_Lateral posterior nucleus of the thalamus	R_LP	226
L_Posterior complex of the thalamus	L_PO	227
R_Posterior complex of the thalamus	R_PO	228
L_Posterior limiting nucleus of the thalamus	L_POL	229
R_Posterior limiting nucleus of the thalamus	R_POL	230
L_Suprageniculate nucleus	L_SGN	231
R_Suprageniculate nucleus	R_SGN	232
L_Anteroventral nucleus of thalamus	L_AV	233
R_Anteroventral nucleus of thalamus	R_AV	234
L_Anteromedial nucleus	L_AM	235
R_Anteromedial nucleus	R_AM	236
L_Anterodorsal nucleus	L_AD	237
R_Anterodorsal nucleus	R_AD	238
L_Interanteromedial nucleus of the thalamus	L_IAM	239
R_Interanteromedial nucleus of the thalamus	R_IAM	240
L_Interanterodorsal nucleus of the thalamus	L_IAD	241
R_Interanterodorsal nucleus of the thalamus	R_IAD	242
L_Lateral dorsal nucleus of thalamus	L_LD	243
R_Lateral dorsal nucleus of thalamus	R_LD	244
L_Intermediodorsal nucleus of the thalamus	L_IMD	245
R_Intermediodorsal nucleus of the thalamus	R_IMD	246
L_Mediodorsal nucleus of thalamus	L_MD	247
R_Mediodorsal nucleus of thalamus	R_MD	248
L_Submedial nucleus of the thalamus	L_SMT	249
R_Submedial nucleus of the thalamus	R_SMT	250
L_Perireunensis nucleus	L_PR	251
R_Perireunensis nucleus	R_PR	252
L_Paraventricular nucleus of the thalamus	L_PVT	253
R_Paraventricular nucleus of the thalamus	R_PVT	254
L_Parataenial nucleus	L_PT	255
R_Parataenial nucleus	R_PT	256
L_Nucleus of reuniens	L_RE	257
R_Nucleus of reuniens	R_RE	258
L_Xiphoid thalamic nucleus	L_Xi	259
R_Xiphoid thalamic nucleus	R_Xi	260
L_Rhomboid nucleus	L_RH	261
R_Rhomboid nucleus	R_RH	262
L_Central medial nucleus of the thalamus	L_CM	263
R_Central medial nucleus of the thalamus	R_CM	264
L_Paracentral nucleus	L_PCN	265
R_Paracentral nucleus	R_PCN	266
L_Central lateral nucleus of the thalamus	L_CL	267
R_Central lateral nucleus of the thalamus	R_CL	268
L_Parafascicular nucleus	L_PF	269
R_Parafascicular nucleus	R_PF	270
L_Posterior intralaminar thalamic nucleus	L_PIL	271
R_Posterior intralaminar thalamic nucleus	R_PIL	272
L_Reticular nucleus of the thalamus	L_RT	273
R_Reticular nucleus of the thalamus	R_RT	274
L_Intergeniculate leaflet of the lateral geniculate complex	L_IGL	275
R_Intergeniculate leaflet of the lateral geniculate complex	R_IGL	276
L_Intermediate geniculate nucleus	L_IntG	277
R_Intermediate geniculate nucleus	R_IntG	278
L_Ventral part of the lateral geniculate complex	L_LGv	279
R_Ventral part of the lateral geniculate complex	R_LGv	280
L_Subgeniculate nucleus	L_SubG	281
R_Subgeniculate nucleus	R_SubG	282
L_Medial habenula	L_MH	283
R_Medial habenula	R_MH	284
L_Lateral habenula	L_LH	285
R_Lateral habenula	R_LH	286
L_Supraoptic nucleus	L_SO	287
R_Supraoptic nucleus	R_SO	288
L_Accessory supraoptic group	L_ASO	289
R_Accessory supraoptic group	R_ASO	290
L_Paraventricular hypothalamic nucleus	L_PVH	291
R_Paraventricular hypothalamic nucleus	R_PVH	292
"L_Periventricular hypothalamic nucleus	 anterior part"	L_PVa	293
"R_Periventricular hypothalamic nucleus	 anterior part"	R_PVa	294
"L_Periventricular hypothalamic nucleus	 intermediate part"	L_PVi	295
"R_Periventricular hypothalamic nucleus	 intermediate part"	R_PVi	296
L_Arcuate hypothalamic nucleus	L_ARH	297
R_Arcuate hypothalamic nucleus	R_ARH	298
L_Anterodorsal preoptic nucleus	L_ADP	299
R_Anterodorsal preoptic nucleus	R_ADP	300
L_Anteroventral preoptic nucleus	L_AVP	301
R_Anteroventral preoptic nucleus	R_AVP	302
L_Anteroventral periventricular nucleus	L_AVPV	303
R_Anteroventral periventricular nucleus	R_AVPV	304
L_Dorsomedial nucleus of the hypothalamus	L_DMH	305
R_Dorsomedial nucleus of the hypothalamus	R_DMH	306
L_Median preoptic nucleus	L_MEPO	307
R_Median preoptic nucleus	R_MEPO	308
L_Medial preoptic area	L_MPO	309
R_Medial preoptic area	R_MPO	310
L_Vascular organ of the lamina terminalis	L_OV	311
R_Vascular organ of the lamina terminalis	R_OV	312
L_Posterodorsal preoptic nucleus	L_PD	313
R_Posterodorsal preoptic nucleus	R_PD	314
L_Parastrial nucleus	L_PS	315
R_Parastrial nucleus	R_PS	316
"L_Periventricular hypothalamic nucleus	 posterior part"	L_PVp	317
"R_Periventricular hypothalamic nucleus	 posterior part"	R_PVp	318
