index	name	color
0	background	969696
1	A1/A2	070840
2	A10	b364d9
3	A11	a55fac
4	A13L	0ee4ec
5	A13M	33ac7b
6	A13a	646776
7	A13b	1c84be
8	A14C	eec89b
9	A14R	e13cd5
10	A19DI	92ccd0
11	A19M	63310d
12	A23V	00bfaf
13	A23a	0dd338
14	A23b	02e590
15	A23c	8483bb
16	A24a	bdc4a7
17	A24b	256c47
18	A24c	ed63b7
19	A24d	1bf1ed
20	A25	3ab868
21	A29a-c	d84a92
22	A29d	a064a0
23	A30	ae73ab
24	A31	c3ace8
25	A32	3c04b2
26	A32V	a78585
27	A35	7a1a37
28	A36	085f2e
29	A3a	46e170
30	A3b	e785c3
31	A45	2a8b0f
32	A46D	3b4b2c
33	A46V	b99978
34	A47L	ba3474
35	A47M	857fab
36	A47O	befad5
37	A4ab	178c84
38	A4c	4189ab
39	A6DC	66ed62
40	A6DR	7ab2de
41	A6M	a1c572
42	A6Va	37c767
43	A6Vb	0b86a4
44	A8C	45a533
45	A8aD	bdb9d1
46	A8Av	a6c058
47	A8b	24a566
48	A9	bb5782
49	dummylabel49	e6c30d
50	AI	9af9d1
51	AIP	e72a15
52	Apri	948385
53	dummylabel53	526fe6
54	AuA1	006b13
55	AuAL	14ba4b
56	AuCL	12f32d
57	AuCM	f1757a
58	AuCPB	608215
59	AuML	986e25
60	AuR	f5202d
61	AuRM	1461d1
62	AuRPB	cd3511
63	AuRT	ee0b2b
64	AuRTL	eee0b0
65	AuRTM	bb9f98
66	dummylabel66	22e677
67	DI	59bbea
68	dummylabel68	33b328
69	dummylabel69	91cfd4
70	Ent	f0f962
71	FST	d70519
72	GI	9d7cbe
73	Gu	931571
74	dummylabel74	91d980
75	Ipro	683e52
76	LIP	313437
77	dummylabel77	4716ae
78	dummylabel78	cadc86
79	MIP	6fcf47
80	dummylabel80	b02062
81	MST	22a7ba
82	dummylabel82	d8cf86
83	OPAl	d83a41
84	OPro	48a80a
85	OPt	bbcddb
86	dummylabel86	59555f
87	PE	c30d79
88	PEC	3362e5
89	PF	8c3a13
90	PFG	87a616
91	PG	354e81
92	PGM	64cde1
93	Pga-IPa	bfc8f1
94	dummylabel94	70cf9b
95	dummylabel95	2d69c4
96	PaIL	d68086
97	PaIM	fc139f
98	dummylabel98	355277
99	dummylabel99	854814
100	Pir	c2678c
101	dummylabel101	21e886
102	dummylabel102	0e5cf8
103	ProM	f25db1
104	ProSt	31b160
105	ReI	277e37
106	S2E	d8d64a
107	S2I	fb9eb9
108	S2PR	63d3b5
109	S2PV	b312f9
110	dummylabel110	4286ee
111	STR	7b6509
112	TE1	aab771
113	TE2	ccc5a6
114	TE3	3344ef
115	TEO	986e26
116	TF	ed1eb7
117	TFO	899e47
118	TH	0708c8
119	TL	86e66e
120	TLO	6444af
121	TPO	477aae
122	TPPro	8082be
123	Tpro	d5d338
124	TPt	0e8088
125	dummylabel125	6e7176
126	V1	7a7e9b
127	V2	0cd168
128	V3	706d04
129	V3A	9b6367
130	V4	aa69ab
131	V4T	1e6477
132	V5	6468d0
133	V6	0b2240
134	V6A	82be71
135	VIP	1b1240
