index	name	color
0	Background	000000
11	Frontal pole, layer 1 Left	ff0000
12	Frontal pole, layer 1 Right	ff0000
21	Frontal pole, layer 2/3 Left	ff0200
22	Frontal pole, layer 2/3 Right	ff0200
31	Frontal pole, layer 4/5 Left	ff0500
32	Frontal pole, layer 4/5 Right	ff0500
41	Frontal pole, layer 6a Left	ff0700
42	Frontal pole, layer 6a Right	ff0700
51	Frontal pole, layer 6b Left	ff0900
52	Frontal pole, layer 6b Right	ff0900
61	Primary motor area, Layer 1 Left	ff0c00
62	Primary motor area, Layer 1 Right	ff0c00
71	Primary motor area, Layer 2/3 Left	ff0e00
72	Primary motor area, Layer 2/3 Right	ff0e00
81	Primary motor area, Layer 4/5 Left	ff1000
82	Primary motor area, Layer 4/5 Right	ff1000
91	Primary motor area, Layer 6a Left	ff1300
92	Primary motor area, Layer 6a Right	ff1300
101	Primary motor area, Layer 6b Left	ff1500
102	Primary motor area, Layer 6b Right	ff1500
111	Secondary motor area, layer 1 Left	ff1700
112	Secondary motor area, layer 1 Right	ff1700
121	Secondary motor area, layer 2/3 Left	ff1a00
122	Secondary motor area, layer 2/3 Right	ff1a00
131	Secondary motor area, layer 4/5 Left	ff1c00
132	Secondary motor area, layer 4/5 Right	ff1c00
141	Secondary motor area, layer 6a Left	ff1e00
142	Secondary motor area, layer 6a Right	ff1e00
151	Secondary motor area, layer 6b Left	ff2100
152	Secondary motor area, layer 6b Right	ff2100
161	Primary somatosensory area, nose, layer 1 Left	ff2300
162	Primary somatosensory area, nose, layer 1 Right	ff2300
171	Primary somatosensory area, nose, layer 2/3 Left	ff2500
172	Primary somatosensory area, nose, layer 2/3 Right	ff2500
181	Primary somatosensory area, nose, layer 4 Left	ff2700
182	Primary somatosensory area, nose, layer 4 Right	ff2700
191	Primary somatosensory area, nose, layer 5 Left	ff2a00
192	Primary somatosensory area, nose, layer 5 Right	ff2a00
201	Primary somatosensory area, nose, layer 6a Left	ff2c00
202	Primary somatosensory area, nose, layer 6a Right	ff2c00
211	Primary somatosensory area, nose, layer 6b Left	ff2e00
212	Primary somatosensory area, nose, layer 6b Right	ff2e00
221	Primary somatosensory area, barrel field, layer 1 Left	ff3100
222	Primary somatosensory area, barrel field, layer 1 Right	ff3100
